,school,count
818,美国柯蒂斯音乐学院（Curtis Institute of Music）,1
819,武汉大学动力与机械学院,1
820,伯克利音乐学院R&B声乐系,1
821,中央戏剧学院相声表演班,1
822,湘潭大学环境与资源学院2015级（就读中）,1
823,浙江树人大学,1
824,林百欣中学,1
825,海专,1
826,淡江中学,1
827,上海大学影视艺术学院,1
828,星海音乐学院师范系,1
829,UCLA（加州大学洛杉矶分校）,1
830,北京师范大学堂,1
831,广东英德市华粤艺术学校,1
832,新疆警察学院,1
833,泉州七中,1
834,四川美术学院舞美设计（在读）,1
835,中国地质大学（武汉）外语系英语专业,1
836,清华大学,1
837,台湾大学,1
838,四川音乐学院流行歌舞系,1
839,本溪大学机械系,1
840,莱佛士学院,1
841,四川传媒学院英语播音,1
842,辽宁师范大学信息管理系,1
843,解放军艺术学院,1
844,澳洲查尔斯特大学,1
845,辽宁省体育运动技术学院,1
846,四川教育学院,1
847,英皇佐治五世学校,1
848,国立艺术学院(国立台北艺术大学),1
849,山东政法学院,1
850,中国台北医学大学医技系毕业,1
851,解放军艺术学院声乐系,1
852,省委党校,1
853,台湾政治大学中文系,1
854,密西根大学,1
855,东亚商学院，新加坡海蝶音乐森林,1
856,天津音乐学院现代音乐系,1
857,四川文化艺术学院,1
858,中国戏曲学院（相声大专班）,1
859,武警工程学院，并于解放军艺术学院进修,1
860,市立景美女中,1
861,台北美国学校,1
862,北京迷迪音乐学院,1
863,导演系硕士,1
864,澳洲女子丁登文法学校,1
865,中国文化大学韩文系,1
866,多伦多大学，北京大学,1
867,中央广播电视大学,1
868,哈尔滨市第二十高级职业中学,1
869,重庆工商大学,1
870,中央音乐学院声乐歌剧系,1
871,中央工艺美术学院 （现清华大学美术学院）,1
872,约翰·霍普金斯大学,1
873,香港理工大学设计学院,1
874,浙江湖州中学,1
875,国立政治大学新闻系,1
876,西南民族大学,1
877,博龙武术学院,1
878,上海戏剧学院表演系89届本科,1
879,育达商职会计科,1
880,天主教辅仁大学,1
881,湖南省艺术学校话剧班,1
882,重庆大学美视电影学院,1
883,台北市立启明学校,1
884,中央戏剧学院表演系,1
885,加州州立理工大学,1
886,伯克利音乐学院,1
887,莫斯科国立柴可夫斯基音乐学院,1
888,哈尔滨青年宫艺术学院,1
889,新竹私立明新工业专科学校,1
890,不列颠哥伦比亚大学,1
891,广西大学,1
892,武汉音乐学院作曲系,1
893,北京天音音乐学校,1
894,中国文化大学美术系,1
895,中国人民解放军艺术学院,1
896,上海戏剧学院附属戏曲学校,1
897,广西医学院医疗系本科,1
898,湖南师范大学，解放军艺术学院,1
899,吉林师范大学附属学校,1
900,攀枝花市第七中学,1
