school	count
首尔大学 雕塑系	1
培德高中	1
沈阳市艺术学校	1
北海道函馆西高等学校	1
美国洛杉矶音乐学院	1
复旦大学法语系（2005年毕业）	1
中央戏剧学院表演系89级本科	1
加拿大英属哥伦比亚大学	1
首都师范大学音乐学院	1
新西兰奥克兰大学土木工程系	1
南山大学	1
英国伦敦大学皇家霍洛威学院	1
莫斯科国立柴可夫斯基音乐学院	1
中国人民大学	1
Taeion Shilub Junmoon大学	1
无线电视艺员训练班	1
专门学校东京广播学院	1
孔祥东音乐学院	1
新加坡中学	1
贝尔蒙特大学	1
韩国清潭中学	1
堀越高等学校	1
百济艺术大学演艺广播系	1
波士顿大学	1
庆熙大学后现代音乐系学士	1
伯克利音乐学院（现就读）	1
天津外国语大学	1
延边大学艺术学院	1
美国杜克大学	1
圣路易斯大学金融系	1
内蒙古民族大学美术学院（在读）	1
龙谷大学	1
国立彰化师范大学	1
中央美术学院	1
西雅图华盛顿州立大学/科尼许音乐学校	1
毕业于第四军医大学	1
