company	count
北京普林赛斯文化传播有限责任公司	1
爱贝克思	1
RBW Entertainment经纪公司	1
Brave Entertainment	1
CHOON Entertainment	1
drdramc	1
UP-FRONT GROUP	1
华音鼎天	1
MCA Nashville Records	1
株式会社5PROJECT	1
众乐纪	1
丰华唱片（台湾）百娱传媒股份有限公司（内地）	1
Hirata Office（声优事务所）	1
SKY CORPORATION	1
宜昌市平英文化传播有限公司	1
华纳唱片（唱片公司）	1
StarEmpire	1
OON RECORDS	1
传亚国际文化传媒（北京）有限公司	1
Arts Vision	1
Custard唱片公司	1
台湾8866唱片公司	1
大西洋唱片(Atlantic Records)	1
少城时代梁博工作室	1
C-JeS Entertainment（韩国）	1
Subcul-rise Record	1
A-Plus	1
TVB	1
天娱传媒	1
Troubadour音乐事务所	1
东京俳优生活协同组合（声优事务所）	1
REMAX	1
北京麦尔文化	1
M&M Artist Management	1
Avex Planning & Development	1
Lights Music	1
Office PAC	1
北京大音君和文化传媒有限公司	1
相信音乐	1
Shady唱片	1
“天籁村”唱片	1
Nuclear Blast	1
EMI	1
吉杰现属于北京木星时代文化传媒旗下艺人。	1
宝丽金	1
PINK RECORDS（自主唱片公司）AMC（艾回唱片公司）	1
小岛唱片	1
维艺坊音乐	1
综一唱片	1
RapProducts	1
ave	1
新艺宝唱片（1990-1996）	1
建音企划	1
北京千竹蕊文化传媒有限公司	1
Dream Tea Entertainment	1
环球壹线	1
壹心娱乐	1
麦锐娱乐	1
Elektra公司	1
蜂鸟唱片	1
musicNEXT	1
Capitol唱片	1
Beluga Heights	1
AXL-ONE（事务所）	1
JVCmusic（音乐签约）	1
Sumthing Else Musicworks	1
歌浴森工作室	1
大泽事务所（声优事务所）	1
胡兵工作室	1
新京文唱片公司	1
Cash Money	1
北京欢唱丽音文化发展有限公司	1
东亚唱片	1
Aware唱片公司签约	1
S(前)	1
東京俳優生活協同組合	1
TN Entertainment	1
Music Ray'n事务所	1
袁姗姗工作室	1
Box Corporation	1
NORTHERN MUSIC	1
胜利娱乐（唱片公司）	1
L extra tele Tre	1
FLaMme	1
S.M. Entertainment（韩）	1
红馆经理人公司（香港）	1
北京盛夏星空影视传媒有限公司	1
KingKong by STARSHIP	1
北京华数唱片公司	1
上海文化经纪有限公司	1
C2K娱乐	1
汤潮音乐工作室	1
jungle entertainment	1
红馆经理人公司（2005至今）百娱时代（内地）	1
北京世邦博文文化经纪有限公司	1
RunTimeMusic Entertainment Inc	1
Around Us Entertainment	1
自由身	1
韩国SM娱乐有限公司	1
韩国海绵娱乐公司	1
Amuleto	1
新疆皓峰文化传媒有限公司	1
哥伦比亚唱片公司华纳兄弟唱片公司	1
Exact	1
P NATION	1
北京百娱时代国际文化传媒有限公司	1
Wall唱片	1
Anti-Record	1
SPACE CRAFT（声优事务所）	1
MOVINGON	1
倪虹洁工作室	1
BPStory Entertainment	1
Amuleto（声优事务所）	1
恒大音乐有限公司	1
宇乐乐文化传媒（经纪）环球唱片公司（音乐）	1
SARAM Entertainment	1
 Ltd	1
 Black Mammoth Records	1
环球音乐集团(Universal Music Group)	1
LINK PLAN	1
Fantagio	1
MJ_Dreamsys Company	1
Around US Entertainment	1
 环球音乐	1
乘梦飞翔(北京)文化传播有限公司	1
北京莱可文化传媒有限公司	1
New Wave Records	1
e-stone music(声优)	1
维京唱片	1
LIONHEART ENTERTAINMENT	1
stay-luck（预备）	1
派拉蒙影业公司	1
SMERecords	1
Hollywood Records	1
Universal Canada	1
经纪人：郝经安	1
古舘プロジェクト	1
PONY CANYON	1
北京华越文砚文化传媒有限公司	1
浙江天谊影业有限公司	1
Imperial Records（唱片公司）	1
（个人）山水回声工作室	1
嘉行天下工作室	1
N.E.E.T. Recordings	1
北京黄色石头传媒有限公司	1
开心麻花	1
Jive唱片公司	1
LABEL V	1
KW Entertainment	1
盛世艺星	1
SWING Entertainment	1
WORTHY Entertainment	1
Swell Entertainment	1
